min_cluster_size,min_samples,hdbscan_clusters,hdbscan_noise,hdbscan_all_ari,hdbscan_all_nmi,hdbscan_non_noise_ari,hdbscan_non_noise_nmi,kmeans_ari,kmeans_nmi,knn3_accuracy,knn3_std
5,1,10,32,0.3952058432549225,0.6206394340465438,0.4132650067935976,0.6547456485583005,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
5,3,5,13,0.45998852872538804,0.7064740685232902,0.49259358956227967,0.736569687369678,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
5,5,4,5,0.4882460336823002,0.7236068992441196,0.4920927033688618,0.7411058438375498,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
5,10,4,6,0.4864660901432921,0.7207245367084741,0.4904954501217789,0.7403062350250331,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
10,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
10,3,4,1,0.4960916941110373,0.7405103730927541,0.4963351060312195,0.7430736897469615,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
10,5,4,5,0.4882460336823002,0.7236068992441196,0.4920927033688618,0.7411058438375498,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
10,10,4,6,0.4864660901432921,0.7207245367084741,0.4904954501217789,0.7403062350250331,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
12,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
12,3,4,1,0.4960916941110373,0.7405103730927541,0.4963351060312195,0.7430736897469615,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
12,5,4,5,0.4882460336823002,0.7236068992441196,0.4920927033688618,0.7411058438375498,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
12,10,4,6,0.4864660901432921,0.7207245367084741,0.4904954501217789,0.7403062350250331,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
24,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
24,3,4,1,0.4960916941110373,0.7405103730927541,0.4963351060312195,0.7430736897469615,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
24,5,4,5,0.4882460336823002,0.7236068992441196,0.4920927033688618,0.7411058438375498,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
24,10,4,6,0.4864660901432921,0.7207245367084741,0.4904954501217789,0.7403062350250331,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
48,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
48,3,4,1,0.4960916941110373,0.7405103730927541,0.4963351060312195,0.7430736897469615,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
48,5,4,5,0.4882460336823002,0.7236068992441196,0.4920927033688618,0.7411058438375498,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
48,10,4,6,0.4864660901432921,0.7207245367084741,0.4904954501217789,0.7403062350250331,0.49830721169625014,0.7402567843327025,0.9895833333333334,0.006588078458684136
