seed_index,seed_base,representation,n_samples,hdbscan_clusters,hdbscan_noise,hdbscan_all_ari,hdbscan_all_nmi,hdbscan_non_noise_ari,hdbscan_non_noise_nmi,kmeans_ari,kmeans_nmi,knn3_accuracy,knn3_std
0,65000,6d_spatial,180,4,2,0.4831688449832434,0.7256963381744511,0.4914931437277806,0.7428026859133436,0.18459597729343333,0.49574079427713597,0.8388888888888889,0.04444444444444442
0,65000,10d_spatial_temporal,180,4,2,0.4846572136942993,0.7256719380532237,0.492982497548541,0.7428205749154773,0.4943502824858757,0.7438478550696798,0.9888888888888889,0.013608276348795441
1,75000,6d_spatial,180,4,2,0.4846572136942993,0.7256719380532237,0.492982497548541,0.7428205749154773,0.18202933676689642,0.4943837742223931,0.8555555555555557,0.03685138655950442
1,75000,10d_spatial_temporal,180,4,2,0.4846572136942993,0.7256719380532237,0.492982497548541,0.7428205749154773,0.4943502824858757,0.7438478550696798,0.961111111111111,0.028327886186626593
2,85000,6d_spatial,180,4,2,0.4846572136942993,0.7256719380532237,0.492982497548541,0.7428205749154773,0.1812265408920616,0.49396808950798254,0.8388888888888889,0.032394177193584985
2,85000,10d_spatial_temporal,180,4,2,0.4834513435648322,0.7317795718138416,0.4985197211345621,0.7459178385905967,0.49209199857337194,0.7440153683026007,0.9666666666666666,0.020786985482077462
3,95000,6d_spatial,180,4,7,0.46016044393509864,0.696323660179197,0.49175888956722474,0.7417218960008146,0.19355163474365106,0.5008679653964233,0.8111111111111111,0.07328281087929399
3,95000,10d_spatial_temporal,180,5,16,0.41380655053376525,0.6710837396965499,0.5067662085179817,0.7478951350543674,0.4930591020938762,0.7438829768924471,0.9777777777777779,0.03239417719358502
4,105000,6d_spatial,180,4,2,0.4851044545013942,0.731825535701158,0.5001936483346243,0.7460016748417706,0.1863585068623557,0.49669895266146813,0.8277777777777777,0.03239417719358502
4,105000,10d_spatial_temporal,180,4,3,0.48006478972881117,0.7195084626041541,0.4959707774991981,0.7439233611385269,0.4943502824858757,0.7438478550696798,0.9722222222222221,0.024845199749997673
