protocol,seed_start,tag,path,single_L_features.kmeans_ari,single_L_features.hdbscan_ari_core,multi_L_features.kmeans_ari,multi_L_features.hdbscan_ari_core,cross_L_engineered_features.kmeans_ari,cross_L_engineered_features.hdbscan_ari_core,pca_whitened_multi_L_features.kmeans_ari,pca_whitened_multi_L_features.hdbscan_ari_core,matched_exponent_geometry.kmeans_ari,matched_exponent_geometry.hdbscan_ari_core,single_L_features_KS_excluded.kmeans_ari,single_L_features_KS_excluded.hdbscan_ari_core,multi_L_features_KS_excluded.kmeans_ari,multi_L_features_KS_excluded.hdbscan_ari_core,cross_L_engineered_features_KS_excluded.kmeans_ari,cross_L_engineered_features_KS_excluded.hdbscan_ari_core,pca_whitened_multi_L_features_KS_excluded.kmeans_ari,pca_whitened_multi_L_features_KS_excluded.hdbscan_ari_core,matched_exponent_geometry_KS_excluded.kmeans_ari,matched_exponent_geometry_KS_excluded.hdbscan_ari_core,best_feature.kmeans_ari,matched_exponent_minus_best_feature.kmeans_ari
equal,69000,codex_sweep_full_equal_seed69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,0.24367088607594936,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.4435935870804513,0.24367088607594936,0.5248359122924608,0.8198403390674631,0.9257423059570473,0.3464696223316913,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.307460063409425,0.3464696223316913,0.4490737773219665,0.7840166018158236,0.9827429304618978,0.6049586776859505,0.21488166138151266
equal,70000,codex_sweep_full_equal_seed70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.527215334966663,0.4957805907172996,0.5271129960617994,0.5839644482509787,0.6748871529965758,0.49958088851634536,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.3939954740301421,0.03903170388880212,0.3291139240506329,0.47199780331855806,0.5370781846955577,0.6049586776859505,-0.020994229434971756
equal,71000,codex_sweep_full_equal_seed71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.5383872730262634,0.4957805907172996,0.5082342713498955,0.5340588355108098,0.6607150047643917,0.49958088851634536,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.42307891124618174,0.3464696223316913,0.42067883392517963,0.43471131639722865,0.5378795181007877,0.6049586776859505,-0.07089984217514067
equal,72000,codex_sweep_full_equal_seed72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.4559484558832322,0.4957805907172996,0.5363907682057237,0.6150564896683484,0.8445592071226358,0.49958088851634536,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.39764802450245323,0.3464696223316913,0.41003911342894395,0.746593117803942,0.6333791037323679,0.6049586776859505,0.010097811982397897
equal,73000,codex_sweep_full_equal_seed73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.5585651710666509,0.24367088607594936,0.3184931506849315,0.46937836866189436,0.5572239679651813,0.49958088851634536,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.45237716281538076,0.019704433497536946,0.3309798887462559,0.4435638995227857,0.5374778270710511,0.6049586776859505,-0.1355803090240561
exp69,69000,codex_sweep_full_exp69_seed69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,0.24367088607594936,0.5280711881583648,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.42785735111692563,0.24367088607594936,0.5412220722093986,0.9017097280215621,0.9595706075201181,0.3464696223316913,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.24092495182542575,0.3464696223316913,0.37385123492245836,0.8432344524866957,0.5443923612655323,0.6049586776859505,0.29675105033561167
exp69,70000,codex_sweep_full_exp69_seed70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.5584836546384186,0.24367088607594936,0.5074007655041354,0.516910506767762,0.6702623502278477,0.49958088851634536,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.45951901478445756,0.3464696223316913,0.3885542168674699,0.3745388184994004,0.5443923612655323,0.6049586776859505,-0.0880481709181885
exp69,71000,codex_sweep_full_exp69_seed71000,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.5409616685869707,0.4957805907172996,0.3580090991288373,0.5101695292833434,0.4770684733119813,0.49958088851634536,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.43936811811130344,0.3464696223316913,0.1478197141810187,0.45108132589432226,0.5382830626450116,0.6049586776859505,-0.0947891484026071
exp69,72000,codex_sweep_full_exp69_seed72000,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.4957805907172996,0.4776902887139108,0.24367088607594936,0.41240585320837636,0.6340482960994152,0.7644045197663174,0.3464696223316913,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.3464696223316913,0.30660701995870615,0.3464696223316913,0.4562053760754765,0.6993545697348706,0.8367198526883007,0.6049586776859505,0.02908961841346469
exp69,73000,codex_sweep_full_exp69_seed73000,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,0.6049586776859505,0.5662431941923775,0.6049586776859505,0.5662431941923775,0.494793705472481,0.563669557279781,0.24367088607594936,0.3802688007165423,0.43873135913170647,0.49981256497432464,0.49958088851634536,0.4776902887139108,0.49958088851634536,0.4776902887139108,0.34590885159169416,0.4668473851330341,0.3464696223316913,0.21367026283397292,0.45404492023509657,0.517089456268004,0.6049586776859505,-0.166227318554244
